category,views,comment_count,likes,dislikes,views_per_comment,views_per_likes,views_per_dislikes
Autos & Vehicles,520690717,784447,4245656,243010,663.7678734191093,122.64081616598236,2142.671976461874
Comedy,5117426208,22545582,216346746,7230391,226.98133088779878,23.6538163971276,707.7661786202157
Education,1180629990,5442242,49257772,1351972,216.93816445501687,23.968400154192928,873.2651193959638
Entertainment,20604388195,73566498,530516491,42987663,280.07841551734595,38.83835572417672,479.3093356807975
Film & Animation,7284156721,17887060,165997476,6075148,407.23051865426737,43.881129379340685,1199.0089329510986
Gaming,2141218625,14740713,69038284,9184466,145.2588233011524,31.014945635091394,233.13479792946046
Howto & Style,4078545064,23149550,162880075,5473899,176.18247715398354,25.04017181966548,745.089572167846
Music,40132892190,125296396,1416838584,51179008,320.3036437696101,28.32566295357185,784.1670590801604
News & Politics,1473765704,6039433,18151033,4180049,244.0238519079523,81.19459118387367,352.57139425877546
Nonprofits & Activism,168941392,4808797,14815646,3310381,35.131737105974736,11.402904200059856,51.033821182516455
People & Blogs,4917191726,24778032,186615999,10187901,198.449647897783,26.34925061275159,482.6501284219389
Pets & Animals,764651989,2660705,19370702,527379,287.38698540424434,39.47466586394236,1449.9098162801324
Science & Technology,3487756816,11989926,82532638,4548402,290.89060399538744,42.25912197305507,766.8092697171446
Shows,51501058,95117,1082639,24508,541.4495621182333,47.56992681771116,2101.397829280235
Sports,4404456673,11192155,98621211,5133551,393.5307072677246,44.66033856550393,857.9746598407223
Travel & Events,343557084,911511,4836246,340427,376.90942182815127,71.03796705130384,1009.1945820983647
